method,optimization,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,notes,gpu
cross_channel4,cross_output_channel_reuse,4096,3,3,16,3,1,1366,1366,3,10,0.574499,0.001122,0.572352,2806.245821,0.000000,0.000000,0.000000,0.000000,-207.693607,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,4096,3,3,16,3,1,1366,1366,3,10,0.330624,0.000096,0.330400,4876.191649,0.000000,0.000000,0.000000,0.000000,-207.693607,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,4096,3,3,16,3,1,1366,1366,3,10,0.661763,0.001321,0.659072,2436.197664,192.187546,0.359402,0.293648,0.000171,-207.733963,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,256,3,3,64,1,1,256,256,6,60,0.037110,0.000993,0.035808,6103.206040,0.000000,0.000000,0.000000,0.000000,232.850327,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,256,3,3,64,1,1,256,256,6,60,0.044459,0.000667,0.043904,5094.449133,0.000000,0.000000,0.000000,0.000000,232.850327,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,256,3,3,64,1,1,256,256,6,60,0.026394,0.000994,0.025504,8581.165118,0.000000,0.000000,0.000000,0.000000,232.850327,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,256,3,3,64,1,1,256,256,6,60,0.021616,0.000183,0.021024,10477.998475,0.000000,0.000000,0.000000,0.000000,232.850327,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,256,3,3,64,1,1,256,256,6,60,0.042661,0.000873,0.041952,5309.146047,0.000000,0.000000,0.000000,0.000000,232.850327,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,256,3,3,64,1,1,256,256,6,60,0.030475,0.001006,0.030016,7432.023926,6.750000,0.007769,0.014880,0.000182,232.806030,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,256,3,3,64,2,1,128,128,6,60,0.013422,0.000308,0.012416,4218.720490,0.000000,0.000000,0.000000,0.000000,-179.329483,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,256,3,3,64,2,1,128,128,6,60,0.025040,0.001002,0.023552,2261.306074,0.000000,0.000000,0.000000,0.000000,-179.329483,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,256,3,3,64,2,1,128,128,6,60,0.012357,0.000974,0.011168,4582.343627,0.000000,0.000000,0.000000,0.000000,-179.329483,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,256,3,3,64,2,1,128,128,6,60,0.009318,0.000208,0.008416,6076.483514,0.000000,0.000000,0.000000,0.000000,-179.329483,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,256,3,3,64,2,1,128,128,6,60,0.013511,0.000379,0.013152,4190.909881,0.000000,0.000000,0.000000,0.000000,-179.329483,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,256,3,3,64,2,1,128,128,6,60,0.019002,0.001201,0.017856,2979.912449,1.687500,0.004517,0.006610,0.000156,-179.309084,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,256,3,3,64,3,1,86,86,6,60,0.010909,0.000704,0.009472,2343.115285,0.000000,0.000000,0.000000,0.000000,111.550727,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,256,3,3,64,3,1,86,86,6,60,0.032472,0.000838,0.031616,787.157426,0.000000,0.000000,0.000000,0.000000,111.550727,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,256,3,3,64,3,1,86,86,6,60,0.011185,0.000398,0.010208,2285.241274,0.000000,0.000000,0.000000,0.000000,111.550727,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,256,3,3,64,3,1,86,86,6,60,0.007180,0.000319,0.006176,3560.101021,0.000000,0.000000,0.000000,0.000000,111.550727,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,256,3,3,64,3,1,86,86,6,60,0.009268,0.000305,0.008320,2757.859350,0.000000,0.000000,0.000000,0.000000,111.550727,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,256,3,3,64,3,1,86,86,6,60,0.018213,0.001220,0.015968,1403.440220,0.761765,0.003818,0.006477,0.000137,111.556228,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,512,3,3,64,1,1,512,512,6,45,0.148757,0.000580,0.148128,6090.281200,0.000000,0.000000,0.000000,0.000000,-681.070851,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,512,3,3,64,1,1,512,512,6,45,0.175180,0.000390,0.174592,5171.647465,0.000000,0.000000,0.000000,0.000000,-681.070851,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,512,3,3,64,1,1,512,512,6,45,0.109608,0.000324,0.108960,8265.556653,0.000000,0.000000,0.000000,0.000000,-681.070851,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,512,3,3,64,1,1,512,512,6,45,0.077190,0.000716,0.075904,11736.817868,0.000000,0.000000,0.000000,0.000000,-681.070851,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,512,3,3,64,1,1,512,512,6,45,0.163100,0.001040,0.162688,5554.673195,0.000000,0.000000,0.000000,0.000000,-681.070851,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,512,3,3,64,1,1,512,512,6,45,0.085483,0.001101,0.082496,10598.284933,27.000000,0.021679,0.055915,0.000175,-681.020864,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,512,3,3,64,2,1,256,256,6,45,0.046655,0.000864,0.045280,4854.666527,0.000000,0.000000,0.000000,0.000000,-115.006707,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,512,3,3,64,2,1,256,256,6,45,0.087065,0.000373,0.086048,2601.420815,0.000000,0.000000,0.000000,0.000000,-115.006707,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,512,3,3,64,2,1,256,256,6,45,0.040021,0.000548,0.038528,5659.392703,0.000000,0.000000,0.000000,0.000000,-115.006707,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,512,3,3,64,2,1,256,256,6,45,0.021525,0.000535,0.020512,10522.480533,0.000000,0.000000,0.000000,0.000000,-115.006707,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,512,3,3,64,2,1,256,256,6,45,0.042473,0.000644,0.041856,5332.590423,0.000000,0.000000,0.000000,0.000000,-115.006707,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,512,3,3,64,2,1,256,256,6,45,0.030553,0.000770,0.029568,7413.126038,6.750000,0.007775,0.014828,0.000171,-114.950611,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,512,3,3,64,3,1,171,171,6,45,0.030785,0.001046,0.029664,3282.621730,0.000000,0.000000,0.000000,0.000000,328.433415,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,512,3,3,64,3,1,171,171,6,45,0.099383,0.000309,0.098176,1016.845394,0.000000,0.000000,0.000000,0.000000,328.433415,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,512,3,3,64,3,1,171,171,6,45,0.032732,0.001002,0.031616,3087.428798,0.000000,0.000000,0.000000,0.000000,328.433415,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,512,3,3,64,3,1,171,171,6,45,0.013360,0.000196,0.012544,7563.937649,0.000000,0.000000,0.000000,0.000000,328.433415,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,512,3,3,64,3,1,171,171,6,45,0.021604,0.000344,0.020544,4677.635984,0.000000,0.000000,0.000000,0.000000,328.433415,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,512,3,3,64,3,1,171,171,6,45,0.022591,0.001482,0.021056,4473.268273,3.011730,0.005811,0.008824,0.000154,328.476679,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,1024,3,3,64,1,1,1024,1024,6,30,0.524386,0.001071,0.522688,6910.706487,0.000000,0.000000,0.000000,0.000000,1700.164684,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,1024,3,3,64,1,1,1024,1024,6,30,0.704956,0.001607,0.703200,5140.576220,0.000000,0.000000,0.000000,0.000000,1700.164684,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,1024,3,3,64,1,1,1024,1024,6,30,0.447169,0.001183,0.445152,8104.045972,0.000000,0.000000,0.000000,0.000000,1700.164684,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,1024,3,3,64,1,1,1024,1024,6,30,0.310156,0.000329,0.309728,11684.061362,0.000000,0.000000,0.000000,0.000000,1700.164684,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,1024,3,3,64,1,1,1024,1024,6,30,0.691046,0.007762,0.658240,5244.045337,0.000000,0.000000,0.000000,0.000000,1700.164684,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,1024,3,3,64,1,1,1024,1024,6,30,0.346186,0.001553,0.343264,10468.022494,108.000000,0.077465,0.260409,0.000176,1700.037384,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,1024,3,3,64,2,1,512,512,6,30,0.184819,0.000914,0.183200,4901.923952,0.000000,0.000000,0.000000,0.000000,-326.046208,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,1024,3,3,64,2,1,512,512,6,30,0.345690,0.000936,0.344576,2620.760523,0.000000,0.000000,0.000000,0.000000,-326.046208,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,1024,3,3,64,2,1,512,512,6,30,0.190445,0.002311,0.185952,4757.124716,0.000000,0.000000,0.000000,0.000000,-326.046208,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,1024,3,3,64,2,1,512,512,6,30,0.078836,0.000790,0.076928,11491.788186,0.000000,0.000000,0.000000,0.000000,-326.046208,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,1024,3,3,64,2,1,512,512,6,30,0.162956,0.000462,0.162464,5559.605970,0.000000,0.000000,0.000000,0.000000,-326.046208,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,1024,3,3,64,2,1,512,512,6,30,0.088962,0.000986,0.087552,10183.767137,27.000000,0.024878,0.055386,0.000175,-325.986193,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,1024,3,3,64,3,1,342,342,6,30,0.113690,0.000919,0.111712,3555.536981,0.000000,0.000000,0.000000,0.000000,-234.947038,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,1024,3,3,64,3,1,342,342,6,30,0.380201,0.000519,0.378944,1063.195729,0.000000,0.000000,0.000000,0.000000,-234.947038,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,1024,3,3,64,3,1,342,342,6,30,0.132318,0.001928,0.125952,3054.973588,0.000000,0.000000,0.000000,0.000000,-234.947038,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,1024,3,3,64,3,1,342,342,6,30,0.038124,0.000542,0.037376,10603.043116,0.000000,0.000000,0.000000,0.000000,-234.947038,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,1024,3,3,64,3,1,342,342,6,30,0.074135,0.001491,0.072608,5452.553253,0.000000,0.000000,0.000000,0.000000,-234.947038,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,1024,3,3,64,3,1,342,342,6,30,0.038379,0.000859,0.037056,10532.611438,12.046921,0.011836,0.018991,0.000179,-234.815371,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,2048,3,3,64,1,1,2048,2048,4,14,1.958917,0.001446,1.956384,7399.761126,0.000000,0.000000,0.000000,0.000000,326.180445,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,2048,3,3,64,1,1,2048,2048,4,14,2.817605,0.001741,2.814944,5144.623437,0.000000,0.000000,0.000000,0.000000,326.180445,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,2048,3,3,64,1,1,2048,2048,4,14,1.718421,0.038302,1.698624,8435.370655,0.000000,0.000000,0.000000,0.000000,326.180445,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,2048,3,3,64,1,1,2048,2048,4,14,1.276997,0.006071,1.262304,11351.255648,0.000000,0.000000,0.000000,0.000000,326.180445,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,2048,3,3,64,1,1,2048,2048,4,14,2.707824,0.015008,2.692032,5353.196728,0.000000,0.000000,0.000000,0.000000,326.180445,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,2048,3,3,64,1,1,2048,2048,4,14,1.655646,0.007741,1.639744,8755.203198,432.000000,0.549054,1.097867,0.000185,325.889883,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,2048,3,3,64,2,1,1024,1024,4,14,0.598256,0.001265,0.596352,6057.404612,0.000000,0.000000,0.000000,0.000000,-791.071890,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,2048,3,3,64,2,1,1024,1024,4,14,1.380558,0.001227,1.378976,2624.938178,0.000000,0.000000,0.000000,0.000000,-791.071890,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,2048,3,3,64,2,1,1024,1024,4,14,0.782251,0.001808,0.779136,4632.626461,0.000000,0.000000,0.000000,0.000000,-791.071890,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,2048,3,3,64,2,1,1024,1024,4,14,0.308087,0.000125,0.307840,11762.522634,0.000000,0.000000,0.000000,0.000000,-791.071890,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,2048,3,3,64,2,1,1024,1024,4,14,0.646071,0.001581,0.643840,5609.103986,0.000000,0.000000,0.000000,0.000000,-791.071890,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,2048,3,3,64,2,1,1024,1024,4,14,0.375774,0.001601,0.373216,9643.778982,108.000000,0.097689,0.269694,0.000202,-790.764344,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,2048,3,3,64,3,1,683,683,4,14,0.456715,0.001150,0.454464,3529.957368,0.000000,0.000000,0.000000,0.000000,620.570972,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,2048,3,3,64,3,1,683,683,4,14,1.454882,0.001246,1.452960,1108.121252,0.000000,0.000000,0.000000,0.000000,620.570972,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,2048,3,3,64,3,1,683,683,4,14,0.549931,0.002931,0.543136,2931.612768,0.000000,0.000000,0.000000,0.000000,620.570972,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,2048,3,3,64,3,1,683,683,4,14,0.150043,0.000961,0.148320,10744.795655,0.000000,0.000000,0.000000,0.000000,620.570972,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,2048,3,3,64,3,1,683,683,4,14,0.292007,0.000458,0.291680,5521.055274,0.000000,0.000000,0.000000,0.000000,620.570972,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,2048,3,3,64,3,1,683,683,4,14,0.177845,0.001601,0.175488,9065.140268,48.046886,0.060825,0.108299,0.000178,620.822057,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,4096,3,3,64,1,1,4096,4096,3,6,7.762240,0.039489,7.689184,7469.758447,0.000000,0.000000,0.000000,0.000000,2913.720827,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,4096,3,3,64,1,1,4096,4096,3,6,14.267200,0.042536,14.181120,4064.011100,0.000000,0.000000,0.000000,0.000000,2913.720827,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,4096,3,3,64,1,1,4096,4096,3,6,6.534507,0.028873,6.495328,8873.211461,0.000000,0.000000,0.000000,0.000000,2913.720827,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,4096,3,3,64,1,1,4096,4096,3,6,4.899563,0.006248,4.890912,11834.129354,0.000000,0.000000,0.000000,0.000000,2913.720827,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,4096,3,3,64,1,1,4096,4096,3,6,10.852261,0.123055,10.618400,5342.854954,0.000000,0.000000,0.000000,0.000000,2913.720827,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,4096,3,3,64,1,1,4096,4096,3,6,5.888619,0.009687,5.874080,9846.461687,1728.000000,1.614800,4.262949,0.000215,2913.603831,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,4096,3,3,64,2,1,2048,2048,3,6,2.142715,0.001531,2.140576,6765.023188,0.000000,0.000000,0.000000,0.000000,-1639.118048,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,4096,3,3,64,2,1,2048,2048,3,6,8.531381,0.003113,8.528480,1699.081825,0.000000,0.000000,0.000000,0.000000,-1639.118048,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,4096,3,3,64,2,1,2048,2048,3,6,3.315232,0.035532,3.239072,4372.398260,0.000000,0.000000,0.000000,0.000000,-1639.118048,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,4096,3,3,64,2,1,2048,2048,3,6,1.733077,0.001418,1.731488,8364.032230,0.000000,0.000000,0.000000,0.000000,-1639.118048,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,4096,3,3,64,2,1,2048,2048,3,6,2.854805,0.021874,2.823040,5077.584229,0.000000,0.000000,0.000000,0.000000,-1639.118048,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,4096,3,3,64,2,1,2048,2048,3,6,1.898363,0.004470,1.890656,7635.798367,432.000000,0.802843,1.086629,0.000217,-1639.121273,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,4096,3,3,64,3,1,1366,1366,3,6,2.498155,0.003259,2.493280,2581.403062,0.000000,0.000000,0.000000,0.000000,573.932605,one thread per output,NVIDIA GeForce RTX 5090
