method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
direct_cuda,256,3,3,1,1,1,256,256,8,80,0.003818,0.000789,0.003104,926.910436,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,1,1,256,256,8,80,0.022506,0.001042,0.021824,157.244469,6.750000,0.007890,0.006601,0.000000,9.238989,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,1,1,256,256,8,80,0.012873,0.001229,0.011168,274.916414,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,2,1,128,128,8,80,0.003632,0.000684,0.003040,243.621547,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,2,1,128,128,8,80,0.017494,0.001745,0.015392,50.573683,1.687500,0.004570,0.004831,0.000000,2.301032,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,2,1,128,128,8,80,0.012752,0.000418,0.012320,69.380176,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,3,1,86,86,8,80,0.003893,0.000769,0.003104,102.595562,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,3,1,86,86,8,80,0.020173,0.000837,0.018816,19.797751,0.761765,0.003576,0.008570,0.000000,5.768309,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,3,1,86,86,8,80,0.013752,0.001427,0.012608,29.041040,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,1,1,512,512,8,60,0.005685,0.000594,0.004864,2489.876183,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,1,1,512,512,8,60,0.038636,0.000770,0.037376,366.385715,27.000000,0.020245,0.010358,0.000000,-11.171479,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,1,1,512,512,8,60,0.016855,0.000482,0.016384,839.859518,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,2,1,256,256,8,60,0.004623,0.000905,0.003232,765.519158,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,2,1,256,256,8,60,0.022441,0.001007,0.020096,157.699455,6.750000,0.008002,0.006296,0.000000,-23.953355,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,2,1,256,256,8,60,0.012918,0.001110,0.012256,273.957309,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,3,1,171,171,8,60,0.004026,0.000830,0.003168,392.191188,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,3,1,171,171,8,60,0.018495,0.000698,0.016992,85.375491,3.011730,0.005724,0.004775,0.000000,52.889671,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,3,1,171,171,8,60,0.013541,0.000884,0.012352,116.611575,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,1,1,1024,1024,8,35,0.012036,0.000832,0.011200,4704.612558,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,1,1,1024,1024,8,35,0.128607,0.001026,0.126592,440.279814,108.000000,0.077145,0.042842,0.000000,69.065362,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,1,1,1024,1024,8,35,0.035184,0.000475,0.033568,1609.363358,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,2,1,512,512,8,35,0.006999,0.000541,0.006048,2022.583938,0.000000,0.000000,0.000000,0.000000,1.932345,0.083073,-0.175348,0.013420,0.001283,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,2,1,512,512,8,35,0.038589,0.001237,0.036352,366.832045,27.000000,0.020483,0.010199,0.000000,1.932334,0.083073,-0.175348,0.013420,0.001283,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,2,1,512,512,8,35,0.017019,0.000493,0.016480,831.742153,0.000000,0.000000,0.000000,0.000000,1.932345,0.083073,-0.175348,0.013420,0.001283,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,3,1,342,342,8,35,0.005036,0.000577,0.004096,1254.209555,0.000000,0.000000,0.000000,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,3,1,342,342,8,35,0.026294,0.000486,0.025728,240.209542,12.046921,0.011904,0.006510,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,3,1,342,342,8,35,0.014200,0.000643,0.013376,444.799836,0.000000,0.000000,0.000000,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,1,1,2048,2048,5,24,0.038856,0.002161,0.036928,5829.020473,0.000000,0.000000,0.000000,0.000000,28.655169,0.192287,-0.089163,0.049149,0.065891,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,1,1,2048,2048,5,24,0.844093,0.002522,0.839296,268.326272,432.000000,0.534377,0.300959,0.000000,28.655212,0.192287,-0.089163,0.049149,0.065891,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,1,1,2048,2048,5,24,0.107073,0.000484,0.106368,2115.301792,0.000000,0.000000,0.000000,0.000000,28.655169,0.192287,-0.089163,0.049149,0.065891,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,2,1,1024,1024,5,24,0.015224,0.000550,0.014336,3719.331560,0.000000,0.000000,0.000000,0.000000,-225.593098,0.192287,0.049149,-0.094374,-0.034171,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,2,1,1024,1024,5,24,0.146867,0.001053,0.144256,385.540884,108.000000,0.087637,0.049448,0.000000,-225.593092,0.192287,0.049149,-0.094374,-0.034171,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,2,1,1024,1024,5,24,0.035321,0.000402,0.034880,1603.085118,0.000000,0.000000,0.000000,0.000000,-225.593098,0.192287,0.049149,-0.094374,-0.034171,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,3,1,683,683,5,24,0.011129,0.000552,0.010368,2263.424541,0.000000,0.000000,0.000000,0.000000,-96.485800,0.192287,0.065891,-0.034171,0.212887,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,3,1,683,683,5,24,0.062993,0.001406,0.060736,399.890024,48.046886,0.038705,0.016259,0.000000,-96.485793,0.192287,0.065891,-0.034171,0.212887,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,3,1,683,683,5,24,0.022432,0.000564,0.020896,1122.967454,0.000000,0.000000,0.000000,0.000000,-96.485800,0.192287,0.065891,-0.034171,0.212887,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,1,1,4096,4096,3,12,0.203579,0.001371,0.201472,4450.219085,0.000000,0.000000,0.000000,0.000000,200.975287,-0.015957,-0.082772,0.059791,-0.096415,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,1,1,4096,4096,3,12,2.770531,0.025840,2.728032,327.002215,1728.000000,1.591477,1.169376,0.000000,200.975269,-0.015957,-0.082772,0.059791,-0.096415,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,1,1,4096,4096,3,12,0.505808,0.000721,0.503712,1791.133501,0.000000,0.000000,0.000000,0.000000,200.975287,-0.015957,-0.082772,0.059791,-0.096415,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,2,1,2048,2048,3,12,0.130061,0.000606,0.129152,1741.427790,0.000000,0.000000,0.000000,0.000000,-89.997782,-0.015957,0.059791,0.253736,0.020813,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,2,1,2048,2048,3,12,1.086987,0.001797,1.083968,208.367243,432.000000,0.774485,0.303688,0.000000,-89.997793,-0.015957,0.059791,0.253736,0.020813,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,2,1,2048,2048,3,12,0.155715,0.000424,0.154656,1454.534924,0.000000,0.000000,0.000000,0.000000,-89.997782,-0.015957,0.059791,0.253736,0.020813,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,3,1,1366,1366,3,12,0.128117,0.000679,0.127104,786.479243,0.000000,0.000000,0.000000,0.000000,172.371926,-0.015957,-0.096415,0.020813,0.025312,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,3,1,1366,1366,3,12,0.463691,0.002476,0.461280,217.303542,192.187546,0.328163,0.126765,0.000000,172.371942,-0.015957,-0.096415,0.020813,0.025312,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,3,1,1366,1366,3,12,0.135723,0.000772,0.134976,742.408236,0.000000,0.000000,0.000000,0.000000,172.371926,-0.015957,-0.096415,0.020813,0.025312,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,1,1,256,256,8,80,0.011853,0.000683,0.010752,4777.192207,0.000000,0.000000,0.000000,0.000000,279.769374,-0.135109,-0.010073,-0.037619,0.260087,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,1,1,256,256,8,80,0.028738,0.001151,0.027360,1970.294251,6.750000,0.007968,0.012733,0.000294,279.778570,-0.135079,-0.010006,-0.037570,0.260066,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,1,1,256,256,8,80,0.018964,0.001936,0.017888,2985.757757,0.000000,0.000000,0.000000,0.000000,279.769374,-0.135109,-0.010073,-0.037619,0.260087,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,2,1,128,128,8,80,0.006662,0.000885,0.005216,2124.853787,0.000000,0.000000,0.000000,0.000000,-19.413115,-0.135109,-0.037619,-0.176186,-0.163357,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,2,1,128,128,8,80,0.019100,0.001339,0.017696,741.155626,1.687500,0.004466,0.006561,0.000288,-19.460269,-0.135079,-0.037570,-0.176183,-0.163408,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,2,1,128,128,8,80,0.013827,0.001359,0.011872,1023.792634,0.000000,0.000000,0.000000,0.000000,-19.413115,-0.135109,-0.037619,-0.176186,-0.163357,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,3,1,86,86,8,80,0.005131,0.000412,0.004224,1245.447882,0.000000,0.000000,0.000000,0.000000,104.100550,-0.135109,0.260087,-0.163357,0.272784,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,3,1,86,86,8,80,0.018485,0.001222,0.017376,345.697224,0.761765,0.003767,0.006596,0.000000,104.100545,-0.135109,0.260087,-0.163357,0.272784,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,3,1,86,86,8,80,0.013021,0.002392,0.012288,490.749243,0.000000,0.000000,0.000000,0.000000,104.100550,-0.135109,0.260087,-0.163357,0.272784,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,1,1,512,512,8,60,0.038135,0.000623,0.036800,5939.154213,0.000000,0.000000,0.000000,0.000000,186.580071,-0.028331,0.076204,0.230091,0.042072,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,1,1,512,512,8,60,0.074505,0.001921,0.073024,3039.959925,27.000000,0.020547,0.045696,0.000296,186.673372,-0.028340,0.076206,0.230074,0.042082,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,1,1,512,512,8,60,0.035504,0.000827,0.034752,6379.349321,0.000000,0.000000,0.000000,0.000000,186.580071,-0.028331,0.076204,0.230091,0.042072,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,2,1,256,256,8,60,0.014738,0.000802,0.013440,3841.945422,0.000000,0.000000,0.000000,0.000000,46.140764,-0.028331,0.230091,0.113266,-0.018173,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,2,1,256,256,8,60,0.028529,0.000614,0.027136,1984.751372,6.750000,0.007824,0.012730,0.000285,46.220123,-0.028340,0.230074,0.113286,-0.018133,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,2,1,256,256,8,60,0.018822,0.000348,0.018400,3008.368156,0.000000,0.000000,0.000000,0.000000,46.140764,-0.028331,0.230091,0.113266,-0.018173,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,3,1,171,171,8,60,0.010989,0.001189,0.009408,2298.976951,0.000000,0.000000,0.000000,0.000000,225.901081,-0.028331,0.042072,-0.018173,-0.066021,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,3,1,171,171,8,60,0.022423,0.000999,0.020992,1126.686812,3.011730,0.005695,0.008734,0.000284,225.888795,-0.028340,0.042082,-0.018133,-0.066037,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,3,1,171,171,8,60,0.014793,0.000954,0.014208,1707.842225,0.000000,0.000000,0.000000,0.000000,225.901081,-0.028331,0.042072,-0.018173,-0.066021,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,1,1,1024,1024,8,35,0.149853,0.001028,0.147776,6045.712209,0.000000,0.000000,0.000000,0.000000,856.287253,0.180195,-0.108260,-0.005533,-0.107989,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,1,1,1024,1024,8,35,0.251664,0.001757,0.248992,3599.924141,108.000000,0.076913,0.166115,0.000317,856.408500,0.180238,-0.108289,-0.005504,-0.107975,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,1,1,1024,1024,8,35,0.104394,0.001796,0.102304,8678.364419,0.000000,0.000000,0.000000,0.000000,856.287253,0.180195,-0.108260,-0.005533,-0.107989,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,2,1,512,512,8,35,0.047568,0.001139,0.046016,4761.490786,0.000000,0.000000,0.000000,0.000000,725.126727,0.180195,-0.005533,-0.070462,-0.022373,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,2,1,512,512,8,35,0.074510,0.001519,0.073056,3039.770299,27.000000,0.021058,0.045520,0.000305,725.345953,0.180238,-0.005504,-0.070439,-0.022374,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,2,1,512,512,8,35,0.035905,0.001033,0.034976,6308.117485,0.000000,0.000000,0.000000,0.000000,725.126727,0.180195,-0.005533,-0.070462,-0.022373,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,3,1,342,342,8,35,0.031829,0.000761,0.030688,3174.991494,0.000000,0.000000,0.000000,0.000000,223.751467,0.180195,-0.107989,-0.022373,0.147384,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,3,1,342,342,8,35,0.036637,0.000793,0.035360,2758.309543,12.046921,0.011793,0.016995,0.000295,223.726426,0.180238,-0.107975,-0.022374,0.147355,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,3,1,342,342,8,35,0.024828,0.000334,0.023776,4070.223151,0.000000,0.000000,0.000000,0.000000,223.751467,0.180195,-0.107989,-0.022373,0.147384,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,1,1,2048,2048,5,24,0.523687,0.000889,0.522528,6919.936829,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,1,1,2048,2048,5,24,1.210332,0.002979,1.200416,2994.119545,432.000000,0.550293,0.651287,0.000365,-831.175397,0.133020,0.156352,0.201432,-0.221260,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,1,1,2048,2048,5,24,0.388544,0.001914,0.385856,9326.816623,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,2,1,1024,1024,5,24,0.186076,0.001001,0.185024,4868.815244,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,2,1,1024,1024,5,24,0.264313,0.000854,0.262560,3427.635112,108.000000,0.088056,0.166644,0.000321,-392.468241,0.133020,0.201432,-0.251423,-0.010621,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,2,1,1024,1024,5,24,0.106639,0.001766,0.104352,8495.695828,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,3,1,683,683,5,24,0.113915,0.001174,0.111744,3538.143975,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,3,1,683,683,5,24,0.139111,0.000917,0.137472,2897.308329,48.046886,0.056471,0.073233,0.000347,35.971848,0.133020,-0.221260,-0.010621,0.138528,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,3,1,683,683,5,24,0.061537,0.001267,0.059584,6549.625624,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,1,1,4096,4096,3,12,1.973555,0.006063,1.970656,7344.876183,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,1,1,4096,4096,3,12,4.206888,0.003917,4.200832,3445.662120,1728.000000,1.605944,2.592072,0.000358,1699.732833,-0.008435,0.022215,-0.016165,0.138887,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,1,1,4096,4096,3,12,1.511469,0.005010,1.504352,9590.346552,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,2,1,2048,2048,3,12,1.153821,0.001482,1.151424,3140.762353,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,2,1,2048,2048,3,12,1.453741,0.001789,1.450656,2492.794678,432.000000,0.794091,0.650843,0.000358,456.027793,-0.008435,-0.016165,-0.086692,0.021592,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,2,1,2048,2048,3,12,0.393741,0.001427,0.391200,9203.703901,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,3,1,1366,1366,3,12,1.994747,0.005352,1.987296,808.215906,0.000000,0.000000,0.000000,0.000000,553.358424,-0.008395,0.138888,0.021561,0.137031,-,NVIDIA GeForce RTX 5090
