threads,N,nits,error,time_sec,time_per_call,mflops
1,15,May,2026,11:25:01,PM,
1,2,1000,7.859082e-17,2.175760e-04,1.087880e-07,91.921909
1,4,1000,1.209837e-16,4.510300e-04,2.255150e-07,177.371791
1,8,1000,6.605630e-17,7.333540e-04,3.666770e-07,327.263499
1,16,1000,1.201601e-16,1.016358e-03,5.081790e-07,629.699377
1,32,100,1.271315e-16,1.181850e-04,5.909250e-07,1353.809598
1,64,100,1.787395e-16,1.555030e-04,7.775151e-07,2469.405456
1,128,100,1.871690e-16,2.217430e-04,1.108715e-06,4040.713516
1,256,100,2.029918e-16,3.352800e-04,1.676400e-06,6108.327411
1,512,10,1.873396e-16,5.790501e-05,2.895251e-06,7957.860616
1,1024,10,2.198247e-16,1.087180e-04,5.435900e-06,9418.863572
1,2048,10,2.439285e-16,2.110230e-04,1.055115e-05,10675.613661
1,4096,10,2.427449e-16,4.350810e-04,2.175405e-05,11297.206976
1,8192,1,2.576021e-16,7.782102e-05,3.891051e-05,13684.733956
1,16384,1,2.671597e-16,1.629770e-04,8.148850e-05,14074.133361
1,32768,1,2.858580e-16,3.468610e-04,1.734305e-04,14170.518123
1,65536,1,2.794558e-16,7.563850e-04,3.781925e-04,13862.992895
1,131072,1,3.104801e-16,1.527468e-03,7.637340e-04,14587.696721
1,262144,1,3.214110e-16,3.340316e-03,1.670158e-03,14126.184447
1,524288,1,3.244878e-16,6.995283e-03,3.497642e-03,14240.270175
1,1048576,1,3.198382e-16,1.591512e-02,7.957559e-03,13177.107005
1,15,May,2026,11:25:01,PM,
16,15,May,2026,11:25:01,PM,
16,2,1000,7.859082e-17,3.342730e-03,1.671365e-06,5.983134
16,4,1000,1.209837e-16,6.820686e-03,3.410343e-06,11.729025
16,8,1000,6.605630e-17,1.075550e-02,5.377751e-06,22.314161
16,16,1000,1.201601e-16,1.551776e-02,7.758882e-06,41.243055
16,32,100,1.271315e-16,1.830569e-03,9.152845e-06,87.404517
16,64,100,1.787395e-16,2.209839e-03,1.104920e-05,173.768315
16,128,100,1.871690e-16,2.642235e-03,1.321117e-05,339.106856
16,256,100,2.029918e-16,3.072488e-03,1.536244e-05,666.560786
16,512,10,1.873396e-16,3.682200e-04,1.841100e-05,1251.425764
16,1024,10,2.198247e-16,4.843910e-04,2.421955e-05,2113.994690
16,2048,10,2.439285e-16,6.700590e-04,3.350295e-05,3362.091985
16,4096,10,2.427449e-16,9.594050e-04,4.797025e-05,5123.175269
16,8192,1,2.576021e-16,1.695890e-04,8.479450e-05,6279.652216
16,16384,1,2.671597e-16,2.987540e-04,1.493770e-04,7677.754401
16,32768,1,2.858580e-16,5.769790e-04,2.884895e-04,8518.854447
16,65536,1,2.794558e-16,1.140344e-03,5.701720e-04,9195.260492
16,131072,1,3.104801e-16,2.710359e-03,1.355179e-03,8221.139720
16,262144,1,3.214110e-16,4.744590e-03,2.372295e-03,9945.204964
16,524288,1,3.244878e-16,9.579743e-03,4.789871e-03,10398.475203
16,1048576,1,3.198382e-16,2.112134e-02,1.056067e-02,9929.068401
16,15,May,2026,11:25:02,PM,
2,15,May,2026,11:25:01,PM,
2,2,1000,7.859082e-17,1.957781e-03,9.788905e-07,10.215647
2,4,1000,1.209837e-16,3.869337e-03,1.934668e-06,20.675377
2,8,1000,6.605630e-17,5.633737e-03,2.816868e-06,42.600498
2,16,1000,1.201601e-16,7.161465e-03,3.580733e-06,89.367189
2,32,100,1.271315e-16,9.070400e-04,4.535200e-06,176.397954
2,64,100,1.787395e-16,1.119275e-03,5.596375e-06,343.079227
2,128,100,1.871690e-16,1.392613e-03,6.963065e-06,643.394818
2,256,100,2.029918e-16,1.972858e-03,9.864290e-06,1038.087902
2,512,10,1.873396e-16,3.096330e-04,1.548165e-05,1488.213447
2,1024,10,2.198247e-16,7.942350e-04,3.971175e-05,1289.290944
2,2048,10,2.439285e-16,7.163230e-04,3.581615e-05,3144.949957
2,4096,10,2.427449e-16,1.048347e-03,5.241735e-05,4688.523886
2,8192,1,2.576021e-16,1.842850e-04,9.214251e-05,5778.874551
2,16384,1,2.671597e-16,3.623900e-04,1.811950e-04,6329.534270
2,32768,1,2.858580e-16,7.917600e-04,3.958800e-04,6207.941903
2,65536,1,2.794558e-16,1.448104e-03,7.240520e-04,7241.026970
2,131072,1,3.104801e-16,2.762304e-03,1.381152e-03,8066.541616
2,262144,1,3.214110e-16,5.778450e-03,2.889225e-03,8165.843789
2,524288,1,3.244878e-16,1.214353e-02,6.071763e-03,8203.113334
2,1048576,1,3.198382e-16,2.739954e-02,1.369977e-02,7653.967082
2,15,May,2026,11:25:01,PM,
32,15,May,2026,11:25:02,PM,
32,2,1000,7.859082e-17,6.128577e-03,3.064288e-06,3.263400
32,4,1000,1.209837e-16,3.222514e-02,1.611257e-05,2.482534
32,8,1000,6.605630e-17,2.152004e-02,1.076002e-05,11.152395
32,16,1000,1.201601e-16,1.186481e-01,5.932405e-05,5.394103
32,32,100,1.271315e-16,3.556909e-03,1.778455e-05,44.982877
32,64,100,1.787395e-16,3.902257e-03,1.951129e-05,98.404590
32,128,100,1.871690e-16,5.362614e-03,2.681307e-05,167.082695
32,256,100,2.029918e-16,1.298106e-02,6.490531e-05,157.768306
32,512,10,1.873396e-16,6.857780e-04,3.428890e-05,671.937556
32,1024,10,2.198247e-16,7.722250e-04,3.861125e-05,1326.038444
32,2048,10,2.439285e-16,1.035463e-03,5.177315e-05,2175.645084
32,4096,10,2.427449e-16,1.367367e-03,6.836835e-05,3594.645720
32,8192,1,2.576021e-16,2.270630e-04,1.135315e-04,4690.152236
32,16384,1,2.671597e-16,3.213750e-04,1.606875e-04,7137.331725
32,32768,1,2.858580e-16,6.776030e-04,3.388015e-04,7253.804893
32,65536,1,2.794558e-16,1.737180e-03,8.685900e-04,6036.081496
32,131072,1,3.104801e-16,2.038959e-03,1.019479e-03,10928.243407
32,262144,1,3.214110e-16,4.360662e-03,2.180331e-03,10820.815697
32,524288,1,3.244878e-16,9.432406e-03,4.716203e-03,10560.902500
32,1048576,1,3.198382e-16,2.133472e-02,1.066736e-02,9829.763363
32,15,May,2026,11:25:02,PM,
4,15,May,2026,11:25:01,PM,
4,2,1000,7.859082e-17,2.004886e-03,1.002443e-06,9.975629
4,4,1000,1.209837e-16,3.929698e-03,1.964849e-06,20.357798
4,8,1000,6.605630e-17,6.904157e-03,3.452078e-06,34.761666
4,16,1000,1.201601e-16,9.850386e-03,4.925193e-06,64.972073
4,32,100,1.271315e-16,1.027549e-03,5.137745e-06,155.710335
4,64,100,1.787395e-16,1.274327e-03,6.371635e-06,301.335531
4,128,100,1.871690e-16,1.538699e-03,7.693495e-06,582.310121
4,256,100,2.029918e-16,2.057953e-03,1.028977e-05,995.163636
4,512,10,1.873396e-16,2.759920e-04,1.379960e-05,1669.613596
4,1024,10,2.198247e-16,3.632910e-04,1.816455e-05,2818.676973
4,2048,10,2.439285e-16,5.764690e-04,2.882345e-05,3907.929137
4,4096,10,2.427449e-16,9.041350e-04,4.520675e-05,5436.356305
4,8192,1,2.576021e-16,1.553830e-04,7.769151e-05,6853.773230
4,16384,1,2.671597e-16,2.826340e-04,1.413170e-04,8115.655121
4,32768,1,2.858580e-16,5.712390e-04,2.856195e-04,8604.454785
4,65536,1,2.794558e-16,1.127802e-03,5.639010e-04,9297.518452
4,131072,1,3.104801e-16,2.725507e-03,1.362753e-03,8175.447762
4,262144,1,3.214110e-16,4.821609e-03,2.410805e-03,9786.343092
4,524288,1,3.244878e-16,1.171757e-02,5.858786e-03,8501.310665
4,1048576,1,3.198382e-16,2.249299e-02,1.124649e-02,9323.580375
4,15,May,2026,11:25:01,PM,
8,15,May,2026,11:25:01,PM,
8,2,1000,7.859082e-17,2.493555e-03,1.246777e-06,8.020677
8,4,1000,1.209837e-16,5.216307e-03,2.608153e-06,15.336521
8,8,1000,6.605630e-17,8.172535e-03,4.086267e-06,29.366653
8,16,1000,1.201601e-16,1.277797e-02,6.388986e-06,50.086199
8,32,100,1.271315e-16,1.330620e-03,6.653100e-06,120.244698
8,64,100,1.787395e-16,1.551722e-03,7.758610e-06,247.467007
8,128,100,1.871690e-16,1.870602e-03,9.353010e-06,478.990188
8,256,100,2.029918e-16,2.251495e-03,1.125747e-05,909.617833
8,512,10,1.873396e-16,2.947970e-04,1.473985e-05,1563.109652
8,1024,10,2.198247e-16,4.026230e-04,2.013115e-05,2543.322154
8,2048,10,2.439285e-16,5.383690e-04,2.691845e-05,4184.490560
8,4096,10,2.427449e-16,8.877550e-04,4.438775e-05,5536.662621
8,8192,1,2.576021e-16,1.524670e-04,7.623351e-05,6984.854712
8,16384,1,2.671597e-16,2.817330e-04,1.408665e-04,8141.609397
8,32768,1,2.858580e-16,5.492590e-04,2.746295e-04,8948.783979
8,65536,1,2.794558e-16,1.114307e-03,5.571535e-04,9410.117674
8,131072,1,3.104801e-16,2.639881e-03,1.319940e-03,8440.622937
8,262144,1,3.214110e-16,4.669032e-03,2.334516e-03,10106.146196
8,524288,1,3.244878e-16,9.667754e-03,4.833877e-03,10303.812035
8,1048576,1,3.198382e-16,2.071162e-02,1.035581e-02,10125.485105
8,15,May,2026,11:25:01,PM,
